DATE,Total_cases
15/03/20,99
16/03/20,126
17/03/20,142
18/03/20,156
19/03/20,167
20/03/20,151
21/03/20,139
22/03/20,145
23/03/20,182
24/03/20,175
25/03/20,170
26/03/20,179
27/03/20,173
28/03/20,159
29/03/20,152
30/03/20,186
31/03/20,178
01/04/20,185
02/04/20,186
03/04/20,184
04/04/20,167
05/04/20,161
06/04/20,187
07/04/20,186
08/04/20,179
09/04/20,191
10/04/20,185
11/04/20,164
12/04/20,138
13/04/20,144
14/04/20,174
15/04/20,182
16/04/20,185
17/04/20,174
18/04/20,151
19/04/20,133
20/04/20,170
21/04/20,171
22/04/20,160
23/04/20,165
24/04/20,159
25/04/20,123
26/04/20,106
27/04/20,164
28/04/20,141
29/04/20,145
30/04/20,139
01/05/20,108
02/05/20,118
03/05/20,82
04/05/20,153
05/05/20,155
06/05/20,158
07/05/20,151
08/05/20,159
09/05/20,115
10/05/20,66
11/05/20,153
12/05/20,141
13/05/20,138
14/05/20,135
15/05/20,134
16/05/20,89
17/05/20,53
18/05/20,126
19/05/20,131
20/05/20,135
21/05/20,48
22/05/20,124
23/05/20,81
24/05/20,58
25/05/20,119
26/05/20,106
27/05/20,106
28/05/20,86
29/05/20,95
30/05/20,48
31/05/20,42
01/06/20,46
02/06/20,103
03/06/20,91
04/06/20,99
05/06/20,97
06/06/20,53
07/06/20,44
08/06/20,97
09/06/20,93
10/06/20,81
11/06/20,61
12/06/20,63
13/06/20,38
14/06/20,21
15/06/20,87
16/06/20,68
17/06/20,73
18/06/20,71
19/06/20,76
20/06/20,42
21/06/20,17
22/06/20,82
23/06/20,77
24/06/20,68
25/06/20,53
26/06/20,68
27/06/20,34
28/06/20,21
29/06/20,72
30/06/20,67
01/07/20,69
02/07/20,64
03/07/20,61
04/07/20,46
05/07/20,19
06/07/20,70
07/07/20,68
08/07/20,76
09/07/20,72
10/07/20,68
11/07/20,50
12/07/20,36
13/07/20,91
14/07/20,99
15/07/20,109
16/07/20,97
17/07/20,98
18/07/20,68
19/07/20,42
20/07/20,125
21/07/20,78
22/07/20,128
23/07/20,118
24/07/20,124
25/07/20,98
26/07/20,75
27/07/20,124
28/07/20,145
29/07/20,148
30/07/20,147
31/07/20,153
01/08/20,109
02/08/20,77
03/08/20,158
04/08/20,153
05/08/20,151
06/08/20,161
07/08/20,161
08/08/20,110
09/08/20,68
10/08/20,162
11/08/20,156
12/08/20,145
13/08/20,150
14/08/20,143
15/08/20,78
16/08/20,75
17/08/20,147
18/08/20,151
19/08/20,129
20/08/20,133
21/08/20,137
22/08/20,88
23/08/20,60
24/08/20,134
25/08/20,139
26/08/20,132
27/08/20,138
28/08/20,150
29/08/20,101
30/08/20,68
31/08/20,149
01/09/20,139
02/09/20,139
03/09/20,144
04/09/20,154
05/09/20,115
06/09/20,86
07/09/20,172
08/09/20,158
09/09/20,158
10/09/20,175
11/09/20,170
12/09/20,150
13/09/20,115
14/09/20,188
15/09/20,185
16/09/20,185
17/09/20,176
18/09/20,183
19/09/20,173
20/09/20,136
21/09/20,189
22/09/20,189
23/09/20,186
24/09/20,182
25/09/20,183
26/09/20,170
27/09/20,153
28/09/20,196
29/09/20,200
30/09/20,201
01/10/20,197
02/10/20,203
03/10/20,189
04/10/20,176
05/10/20,202
06/10/20,208
07/10/20,209
08/10/20,212
09/10/20,217
10/10/20,205
11/10/20,201
12/10/20,216
13/10/20,218
14/10/20,217
15/10/20,219
16/10/20,219
17/10/20,216
18/10/20,212
19/10/20,218
20/10/20,220
21/10/20,220
22/10/20,219
23/10/20,220
24/10/20,220
25/10/20,210
26/10/20,220
27/10/20,220
28/10/20,220
29/10/20,220
30/10/20,220
31/10/20,218
01/11/20,210
02/11/20,219
03/11/20,220
04/11/20,218
05/11/20,217
06/11/20,218
07/11/20,212
08/11/20,197
09/11/20,219
10/11/20,215
11/11/20,205
12/11/20,216
13/11/20,216
14/11/20,213
15/11/20,184
16/11/20,216
17/11/20,214
18/11/20,213
19/11/20,212
20/11/20,211
21/11/20,199
22/11/20,169
23/11/20,218
24/11/20,217
25/11/20,210
26/11/20,211
27/11/20,216
28/11/20,205
29/11/20,166
30/11/20,216
01/12/20,216
02/12/20,215
03/12/20,219
04/12/20,217
05/12/20,194
06/12/20,169
07/12/20,218
08/12/20,220
09/12/20,217
10/12/20,212
11/12/20,214
12/12/20,191
13/12/20,172
14/12/20,214
15/12/20,217
16/12/20,213
17/12/20,217
18/12/20,215
19/12/20,198
20/12/20,164
21/12/20,215
22/12/20,213
23/12/20,211
24/12/20,209
25/12/20,145
26/12/20,191
27/12/20,168
28/12/20,213
29/12/20,209
30/12/20,206
31/12/20,212
01/01/21,160
02/01/21,191
03/01/21,170
04/01/21,213
05/01/21,216
06/01/21,209
07/01/21,203
08/01/21,205
09/01/21,197
10/01/21,170
11/01/21,216
12/01/21,207
13/01/21,206
14/01/21,205
15/01/21,207
16/01/21,190
17/01/21,155
18/01/21,212
19/01/21,206
20/01/21,208
21/01/21,211
22/01/21,210
23/01/21,201
24/01/21,175
25/01/21,213
26/01/21,211
27/01/21,211
28/01/21,210
29/01/21,214
30/01/21,200
31/01/21,174
01/02/21,214
02/02/21,208
03/02/21,210
04/02/21,210
05/02/21,208
06/02/21,193
07/02/21,158
08/02/21,213
09/02/21,209
10/02/21,211
11/02/21,203
12/02/21,209
13/02/21,193
14/02/21,161
15/02/21,215
16/02/21,213
17/02/21,209
18/02/21,204
