DATE,REGION,Total_cases,Risk Index
2020-03-15,Brussels,119,0
2020-03-15,Flanders,461,0
2020-03-15,Wallonia,383,0
2020-03-16,Brussels,238,0
2020-03-16,Flanders,794,0
2020-03-16,Wallonia,568,0
2020-03-17,Brussels,219,0
2020-03-17,Flanders,1414,1
2020-03-17,Wallonia,654,0
2020-03-18,Brussels,346,0
2020-03-18,Flanders,1962,1
2020-03-18,Wallonia,925,0
2020-03-19,Brussels,583,0
2020-03-19,Flanders,2212,1
2020-03-19,Wallonia,1245,1
2020-03-20,Brussels,504,0
2020-03-20,Flanders,3230,1
2020-03-20,Wallonia,1468,1
2020-03-21,Brussels,683,0
2020-03-21,Flanders,2951,1
2020-03-21,Wallonia,1377,1
2020-03-22,Brussels,719,0
2020-03-22,Flanders,2262,1
2020-03-22,Wallonia,1464,1
2020-03-23,Brussels,515,0
2020-03-23,Flanders,3679,1
2020-03-23,Wallonia,1758,1
2020-03-24,Brussels,1058,1
2020-03-24,Flanders,5412,2
2020-03-24,Wallonia,1777,1
2020-03-25,Brussels,1312,1
2020-03-25,Flanders,6299,2
2020-03-25,Wallonia,2424,1
2020-03-26,Brussels,1517,1
2020-03-26,Flanders,5462,2
2020-03-26,Wallonia,2726,1
2020-03-27,Brussels,1859,1
2020-03-27,Flanders,6398,2
2020-03-27,Wallonia,2962,1
2020-03-28,Brussels,1856,1
2020-03-28,Flanders,6535,2
2020-03-28,Wallonia,2644,1
2020-03-29,Brussels,1661,1
2020-03-29,Flanders,4855,1
2020-03-29,Wallonia,2441,1
2020-03-30,Brussels,986,0
2020-03-30,Flanders,6131,2
2020-03-30,Wallonia,3155,1
2020-03-31,Brussels,2096,1
2020-03-31,Flanders,6389,2
2020-03-31,Wallonia,2698,1
2020-04-01,Brussels,1591,1
2020-04-01,Flanders,6428,2
2020-04-01,Wallonia,3667,1
2020-04-02,Brussels,1973,1
2020-04-02,Flanders,5815,2
2020-04-02,Wallonia,3714,1
2020-04-03,Brussels,1283,1
2020-04-03,Flanders,6709,2
2020-04-03,Wallonia,2425,1
2020-04-04,Brussels,1377,1
2020-04-04,Flanders,5143,2
2020-04-04,Wallonia,2549,1
2020-04-05,Brussels,1072,1
2020-04-05,Flanders,3407,1
2020-04-05,Wallonia,1782,1
2020-04-06,Brussels,1061,1
2020-04-06,Flanders,4508,1
2020-04-06,Wallonia,2051,1
2020-04-07,Brussels,1562,1
2020-04-07,Flanders,5555,2
2020-04-07,Wallonia,2583,1
2020-04-08,Brussels,1262,1
2020-04-08,Flanders,4790,1
2020-04-08,Wallonia,3260,1
2020-04-09,Brussels,1601,1
2020-04-09,Flanders,5465,2
2020-04-09,Wallonia,3493,1
2020-04-10,Brussels,1203,1
2020-04-10,Flanders,5766,2
2020-04-10,Wallonia,2828,1
2020-04-11,Brussels,762,0
2020-04-11,Flanders,4320,1
2020-04-11,Wallonia,2182,1
2020-04-12,Brussels,843,0
2020-04-12,Flanders,2547,1
2020-04-12,Wallonia,1099,1
2020-04-13,Brussels,775,0
2020-04-13,Flanders,2423,1
