DATE,TOTAL_CASES_AGG
2020-03-15,963
2020-03-16,1600
2020-03-17,2287
2020-03-18,3233
2020-03-19,4040
2020-03-20,5202
2020-03-21,5011
2020-03-22,4445
2020-03-23,5952
2020-03-24,8247
2020-03-25,10035
2020-03-26,9705
2020-03-27,11219
2020-03-28,11035
2020-03-29,8957
2020-03-30,10272
2020-03-31,11183
2020-04-01,11686
2020-04-02,11502
2020-04-03,10417
2020-04-04,9069
2020-04-05,6261
2020-04-06,7620
2020-04-07,9700
2020-04-08,9312
2020-04-09,10559
2020-04-10,9797
2020-04-11,7264
2020-04-12,4489
2020-04-13,4189
2020-04-14,5696
2020-04-15,7015
2020-04-16,7168
2020-04-17,6444
2020-04-18,4700
2020-04-19,3484
2020-04-20,4297
2020-04-21,5713
2020-04-22,4094
2020-04-23,4343
2020-04-24,4232
2020-04-25,2763
2020-04-26,1653
2020-04-27,2840
2020-04-28,2971
2020-04-29,3224
2020-04-30,2867
2020-05-01,1788
2020-05-02,1360
2020-05-03,712
2020-05-04,2121
2020-05-05,2471
2020-05-06,2217
2020-05-07,2337
2020-05-08,1702
2020-05-09,1232
2020-05-10,548
2020-05-11,1203
2020-05-12,1540
2020-05-13,1520
2020-05-14,1287
2020-05-15,1300
2020-05-16,776
2020-05-17,380
2020-05-18,1030
2020-05-19,1112
2020-05-20,1484
2020-05-21,444
2020-05-22,774
2020-05-23,642
2020-05-24,291
2020-05-25,845
2020-05-26,646
2020-05-27,816
2020-05-28,476
2020-05-29,440
2020-05-30,244
2020-05-31,170
2020-06-01,216
2020-06-02,552
2020-06-03,379
2020-06-04,537
2020-06-05,473
2020-06-06,202
2020-06-07,177
2020-06-08,330
2020-06-09,408
2020-06-10,320
2020-06-11,362
2020-06-12,290
2020-06-13,90
2020-06-14,67
2020-06-15,267
2020-06-16,268
2020-06-17,291
2020-06-18,273
2020-06-19,320
2020-06-20,135
2020-06-21,49
2020-06-22,263
2020-06-23,204
2020-06-24,239
2020-06-25,195
2020-06-26,270
2020-06-27,95
2020-06-28,55
2020-06-29,273
2020-06-30,219
2020-07-01,223
2020-07-02,194
2020-07-03,134
2020-07-04,149
2020-07-05,46
2020-07-06,186
2020-07-07,245
2020-07-08,220
2020-07-09,213
2020-07-10,166
2020-07-11,137
2020-07-12,95
2020-07-13,322
2020-07-14,411
2020-07-15,371
2020-07-16,382
2020-07-17,414
2020-07-18,393
2020-07-19,182
2020-07-20,630
2020-07-21,259
2020-07-22,869
2020-07-23,917
2020-07-24,961
2020-07-25,558
2020-07-26,336
2020-07-27,1030
2020-07-28,1329
2020-07-29,1142
2020-07-30,1164
2020-07-31,992
2020-08-01,672
2020-08-02,496
2020-08-03,1289
2020-08-04,1123
2020-08-05,1569
2020-08-06,1336
2020-08-07,1313
2020-08-08,823
2020-08-09,315
2020-08-10,1594
2020-08-11,1520
2020-08-12,1187
2020-08-13,1440
2020-08-14,1103
2020-08-15,654
2020-08-16,430
2020-08-17,1023
2020-08-18,1277
2020-08-19,1209
2020-08-20,1049
2020-08-21,989
2020-08-22,454
2020-08-23,238
2020-08-24,842
2020-08-25,692
2020-08-26,826
2020-08-27,839
2020-08-28,882
2020-08-29,290
2020-08-30,250
2020-08-31,892
2020-09-01,972
2020-09-02,956
2020-09-03,861
2020-09-04,1060
2020-09-05,515
2020-09-06,333
2020-09-07,1383
2020-09-08,1543
2020-09-09,1390
2020-09-10,1627
2020-09-11,1773
2020-09-12,1133
2020-09-13,777
2020-09-14,2320
2020-09-15,2487
2020-09-16,2744
2020-09-17,2584
2020-09-18,2711
2020-09-19,1886
2020-09-20,1208
2020-09-21,3279
2020-09-22,3419
2020-09-23,3376
2020-09-24,3498
2020-09-25,2939
2020-09-26,1991
2020-09-27,1411
2020-09-28,4178
2020-09-29,4666
2020-09-30,4865
2020-10-01,5033
2020-10-02,5087
2020-10-03,3152
2020-10-04,2659
2020-10-05,6961
2020-10-06,7829
2020-10-07,9619
2020-10-08,9135
2020-10-09,10762
2020-10-10,7476
2020-10-11,5053
2020-10-12,13250
2020-10-13,17009
2020-10-14,17628
2020-10-15,17644
2020-10-16,18560
2020-10-17,15265
2020-10-18,9634
2020-10-19,21053
2020-10-20,27776
2020-10-21,26105
2020-10-22,27784
2020-10-23,30935
2020-10-24,23577
2020-10-25,15252
2020-10-26,30437
2020-10-27,36007
2020-10-28,32871
2020-10-29,28578
2020-10-30,30136
2020-10-31,20286
2020-11-01,13934
2020-11-02,25793
2020-11-03,29845
2020-11-04,22501
2020-11-05,18988
2020-11-06,18528
2020-11-07,13040
2020-11-08,9165
2020-11-09,17301
2020-11-10,19782
2020-11-11,12727
2020-11-12,14521
2020-11-13,16045
2020-11-14,11350
2020-11-15,6604
2020-11-16,11357
2020-11-17,12198
2020-11-18,10691
2020-11-19,10132
2020-11-20,9326
2020-11-21,6178
2020-11-22,4074
2020-11-23,8094
2020-11-24,8841
2020-11-25,8164
2020-11-26,7396
2020-11-27,7276
2020-11-28,5345
2020-11-29,3086
2020-11-30,5657
2020-12-01,6742
2020-12-02,7259
2020-12-03,6221
2020-12-04,6845
2020-12-05,5214
2020-12-06,3190
2020-12-07,6236
2020-12-08,6935
2020-12-09,6379
2020-12-10,6660
2020-12-11,6447
2020-12-12,5078
2020-12-13,4094
2020-12-14,6225
2020-12-15,7642
2020-12-16,6661
2020-12-17,6818
2020-12-18,6683
2020-12-19,5197
2020-12-20,2871
2020-12-21,5990
2020-12-22,6825
2020-12-23,6038
2020-12-24,5838
2020-12-25,2790
2020-12-26,2843
2020-12-27,3241
2020-12-28,5523
2020-12-29,6212
2020-12-30,5019
2020-12-31,4411
2021-01-01,2761
2021-01-02,3087
2021-01-03,2988
2021-01-04,4993
2021-01-05,5505
2021-01-06,5015
2021-01-07,4756
2021-01-08,4581
2021-01-09,3775
2021-01-10,2244
2021-01-11,4544
2021-01-12,4854
2021-01-13,4706
2021-01-14,4448
2021-01-15,4756
2021-01-16,3113
2021-01-17,1980
2021-01-18,4919
2021-01-19,5913
2021-01-20,5172
2021-01-21,5100
2021-01-22,5529
2021-01-23,4067
2021-01-24,2662
2021-01-25,5006
2021-01-26,5632
2021-01-27,4810
2021-01-28,5170
2021-01-29,5213
2021-01-30,4095
2021-01-31,2149
2021-02-01,5744
2021-02-02,5333
2021-02-03,5051
2021-02-04,5063
2021-02-05,5165
2021-02-06,3487
2021-02-07,2325
2021-02-08,3862
2021-02-09,5238
2021-02-10,4614
2021-02-11,4580
2021-02-12,4518
2021-02-13,3073
2021-02-14,2083
2021-02-15,4329
2021-02-16,5134
2021-02-17,5169
2021-02-18,5180
2021-02-19,5150
2021-02-20,3567
2021-02-21,2271
2021-02-22,5493
2021-02-23,5841
2021-02-24,5577
2021-02-25,5290
2021-02-26,6522
2021-02-27,4264
2021-02-28,2817
2021-03-01,5180
2021-03-02,6062
2021-03-03,5629
2021-03-04,5920
2021-03-05,5641
2021-03-06,4096
2021-03-07,2877
2021-03-08,5766
2021-03-09,7252
2021-03-10,6321
2021-03-11,6097
2021-03-12,6885
2021-03-13,5795
2021-03-14,4234
2021-03-15,8067
2021-03-16,8548
2021-03-17,8738
2021-03-18,8938
2021-03-19,8604
2021-03-20,7350
2021-03-21,4929
2021-03-22,10092
2021-03-23,11430
2021-03-24,10316
2021-03-25,10209
2021-03-26,9612
2021-03-27,8505
2021-03-28,5531
2021-03-29,9900
2021-03-30,11282
2021-03-31,10750
2021-04-01,10243
2021-04-02,10482
2021-04-03,7506
2021-04-04,4629
2021-04-05,5707
2021-04-06,9771
2021-04-07,11039
2021-04-08,9249
2021-04-09,9679
2021-04-10,7090
2021-04-11,4981
2021-04-12,8917
2021-04-13,9267
2021-04-14,7896
2021-04-15,8414
2021-04-16,8726
2021-04-17,6807
2021-04-18,4915
2021-04-19,9367
2021-04-20,10139
2021-04-21,8698
2021-04-22,8150
2021-04-23,7834
2021-04-24,6052
2021-04-25,3862
2021-04-26,7236
2021-04-27,8062
2021-04-28,7438
2021-04-29,7177
2021-04-30,7019
2021-05-01,4729
2021-05-02,3912
2021-05-03,7154
2021-05-04,7109
2021-05-05,6614
2021-05-06,6170
2021-05-07,6287
2021-05-08,4635
2021-05-09,3553
2021-05-10,5819
2021-05-11,6066
2021-05-12,5554
2021-05-13,3327
2021-05-14,4403
2021-05-15,4153
2021-05-16,2374
2021-05-17,5365
2021-05-18,5571
2021-05-19,5698
2021-05-20,4592
2021-05-21,4720
2021-05-22,3482
2021-05-23,2092
2021-05-24,2117
2021-05-25,4379
2021-05-26,4468
2021-05-27,3806
2021-05-28,3460
2021-05-29,2615
2021-05-30,1614
2021-05-31,2991
2021-06-01,3255
2021-06-02,2897
2021-06-03,2825
2021-06-04,2642
2021-06-05,1883
2021-06-06,1059
2021-06-07,1909
2021-06-08,2285
2021-06-09,1912
2021-06-10,1542
2021-06-11,1521
2021-06-12,991
2021-06-13,463
2021-06-14,1331
2021-06-15,1209
2021-06-16,785
2021-06-17,895
2021-06-18,833
2021-06-19,686
2021-06-20,390
2021-06-21,896
2021-06-22,677
2021-06-23,791
2021-06-24,742
2021-06-25,571
2021-06-26,514
2021-06-27,293
2021-06-28,807
2021-06-29,762
2021-06-30,801
2021-07-01,754
2021-07-02,988
2021-07-03,714
2021-07-04,485
2021-07-05,1126
2021-07-06,1379
2021-07-07,1586
2021-07-08,1309
2021-07-09,1582
2021-07-10,1214
2021-07-11,904
2021-07-12,1946
2021-07-13,1850
2021-07-14,1774
2021-07-15,1801
2021-07-16,1960
2021-07-17,1513
2021-07-18,1052
2021-07-19,2535
2021-07-20,2413
2021-07-21,1179
2021-07-22,2339
2021-07-23,2070
2021-07-24,1664
2021-07-25,1159
2021-07-26,2496
2021-07-27,2262
2021-07-28,2421
2021-07-29,2378
2021-07-30,2203
2021-07-31,1786
2021-08-01,1589
2021-08-02,2925
2021-08-03,2683
2021-08-04,2512
2021-08-05,2491
2021-08-06,2843
2021-08-07,2075
2021-08-08,1586
2021-08-09,3449
2021-08-10,3370
2021-08-11,2734
2021-08-12,3115
2021-08-13,3403
2021-08-14,2195
2021-08-15,1430
2021-08-16,3666
2021-08-17,3680
2021-08-18,3438
2021-08-19,3030
2021-08-20,3083
2021-08-21,2230
2021-08-22,1639
2021-08-23,3658
2021-08-24,3732
2021-08-25,3424
2021-08-26,3208
2021-08-27,3207
2021-08-28,2496
2021-08-29,1569
2021-08-30,3912
2021-08-31,3815
2021-09-01,3464
2021-09-02,3477
2021-09-03,3257
2021-09-04,2484
2021-09-05,1696
2021-09-06,3982
2021-09-07,3832
2021-09-08,3355
2021-09-09,3225
2021-09-10,3406
2021-09-11,2028
2021-09-12,1305
2021-09-13,3883
2021-09-14,3815
2021-09-15,3356
2021-09-16,3784
2021-09-17,3395
2021-09-18,2239
2021-09-19,1294
2021-09-20,3742
2021-09-21,3355
2021-09-22,3226
2021-09-23,3229
2021-09-24,2798
2021-09-25,2071
2021-09-26,1343
2021-09-27,3609
2021-09-28,3668
2021-09-29,3341
2021-09-30,3331
2021-10-01,3289
2021-10-02,2144
2021-10-03,1354
2021-10-04,3540
2021-10-05,3692
2021-10-06,3650
2021-10-07,3474
2021-10-08,3685
2021-10-09,2345
2021-10-10,1473
2021-10-11,4811
2021-10-12,4708
2021-10-13,4925
2021-10-14,5295
2021-10-15,5269
2021-10-16,4088
2021-10-17,2534
2021-10-18,8100
2021-10-19,8316
2021-10-20,9024
2021-10-21,9166
2021-10-22,9552
2021-10-23,6214
2021-10-24,4142
2021-10-25,12022
2021-10-26,12366
2021-10-27,12242
2021-10-28,12069
2021-10-29,12772
2021-10-30,8507
2021-10-31,5127
2021-11-01,5901
2021-11-02,14926
2021-11-03,15232
2021-11-04,14034
2021-11-05,14539
2021-11-06,9744
2021-11-07,6865
2021-11-08,18545
2021-11-09,17940
2021-11-10,18321
2021-11-11,9297
2021-11-12,17100
2021-11-13,13702
2021-11-14,9382
2021-11-15,24730
2021-11-16,23887
2021-11-17,24285
2021-11-18,24184
2021-11-19,25074
2021-11-20,16721
2021-11-21,11549
2021-11-22,30168
2021-11-23,28140
2021-11-24,26713
2021-11-25,26930
2021-11-26,26252
2021-11-27,17704
2021-11-28,11588
2021-11-29,30392
2021-11-30,28192
2021-12-01,26349
2021-12-02,24452
2021-12-03,23413
2021-12-04,15534
2021-12-05,10064
2021-12-06,24558
2021-12-07,22082
2021-12-08,20746
2021-12-09,19276
2021-12-10,18674
2021-12-11,12065
2021-12-12,7531
2021-12-13,17397
2021-12-14,16048
2021-12-15,13614
2021-12-16,11486
2021-12-17,11035
2021-12-18,7915
2021-12-19,5113
2021-12-20,11620
2021-12-21,10446
2021-12-22,10472
2021-12-23,10119
2021-12-24,8666
2021-12-25,5072
2021-12-26,6330
2021-12-27,14681
2021-12-28,15787
2021-12-29,17538
2021-12-30,18822
2021-12-31,15148
2022-01-01,6805
2022-01-02,11582
2022-01-03,29863
2022-01-04,31840
2022-01-05,29306
2022-01-06,26606
2022-01-07,26932
2022-01-08,18763
2022-01-09,14013
2022-01-10,39808
2022-01-11,35089
2022-01-12,34820
2022-01-13,33370
2022-01-14,35917
2022-01-15,25985
2022-01-16,17871
2022-01-17,65468
2022-01-18,65833
2022-01-19,66343
2022-01-20,63461
2022-01-21,62581
2022-01-22,38648
2022-01-23,26034
2022-01-24,81193
2022-01-25,69970
2022-01-26,61026
2022-01-27,55151
2022-01-28,49193
2022-01-29,30077
2022-01-30,18299
2022-01-31,56105
2022-02-01,44738
2022-02-02,37697
2022-02-03,33316
2022-02-04,28784
2022-02-05,18349
2022-02-06,12827
2022-02-07,32853
2022-02-08,25143
2022-02-09,22417
2022-02-10,19215
2022-02-11,18433
2022-02-12,12248
2022-02-13,8714
2022-02-14,19408
2022-02-15,17387
2022-02-16,15249
2022-02-17,13377
2022-02-18,11547
2022-02-19,8409
2022-02-20,5736
2022-02-21,13992
2022-02-22,11721
2022-02-23,11190
2022-02-24,9856
2022-02-25,8672
2022-02-26,5551
2022-02-27,3938
2022-02-28,10423
2022-03-01,9912
2022-03-02,10808
2022-03-03,9908
2022-03-04,9813
2022-03-05,6577
2022-03-06,5825
2022-03-07,14488
2022-03-08,12476
2022-03-09,12418
2022-03-10,11525
2022-03-11,11628
2022-03-12,8190
2022-03-13,5926
2022-03-14,18704
2022-03-15,16012
2022-03-16,15768
2022-03-17,14301
2022-03-18,13798
2022-03-19,8712
2022-03-20,6855
2022-03-21,20551
2022-03-22,17686
2022-03-23,17722
2022-03-24,9957
2022-03-25,328
