DATE,TOTAL_CASES_AGG
2020-03-15,119
2020-03-16,238
2020-03-17,219
2020-03-18,346
2020-03-19,583
2020-03-20,504
2020-03-21,683
2020-03-22,719
2020-03-23,515
2020-03-24,1058
2020-03-25,1312
2020-03-26,1517
2020-03-27,1859
2020-03-28,1856
2020-03-29,1661
2020-03-30,986
2020-03-31,2096
2020-04-01,1591
2020-04-02,1973
2020-04-03,1283
2020-04-04,1377
2020-04-05,1072
2020-04-06,1061
2020-04-07,1562
2020-04-08,1262
2020-04-09,1601
2020-04-10,1203
2020-04-11,762
2020-04-12,843
2020-04-13,775
2020-04-14,708
2020-04-15,903
2020-04-16,1019
2020-04-17,1037
2020-04-18,578
2020-04-19,503
2020-04-20,439
2020-04-21,572
2020-04-22,812
2020-04-23,667
2020-04-24,776
2020-04-25,331
2020-04-26,247
2020-04-27,448
2020-04-28,390
2020-04-29,481
2020-04-30,481
2020-05-01,130
2020-05-02,90
2020-05-03,87
2020-05-04,331
2020-05-05,367
2020-05-06,303
2020-05-07,295
2020-05-08,189
2020-05-09,251
2020-05-10,92
2020-05-11,157
2020-05-12,148
2020-05-13,193
2020-05-14,126
2020-05-15,207
2020-05-16,175
2020-05-17,22
2020-05-18,188
2020-05-19,170
2020-05-20,151
2020-05-21,53
2020-05-22,117
2020-05-23,60
2020-05-24,31
2020-05-25,96
2020-05-26,68
2020-05-27,149
2020-05-28,24
2020-05-29,110
2020-05-30,28
2020-05-31,17
2020-06-01,42
2020-06-02,119
2020-06-03,34
2020-06-04,128
2020-06-05,99
2020-06-06,20
2020-06-07,60
2020-06-08,46
2020-06-09,85
2020-06-10,95
2020-06-11,55
2020-06-12,59
2020-06-13,21
2020-06-14,10
2020-06-15,62
2020-06-16,43
2020-06-17,37
2020-06-18,78
2020-06-19,63
2020-06-20,7
2020-06-22,25
2020-06-23,20
2020-06-24,22
2020-06-25,33
2020-06-26,83
2020-06-27,13
2020-06-29,94
2020-06-30,23
2020-07-01,22
2020-07-02,46
2020-07-03,17
2020-07-04,6
2020-07-05,1
2020-07-06,34
2020-07-07,8
2020-07-08,37
2020-07-09,28
2020-07-10,29
2020-07-11,6
2020-07-12,12
2020-07-13,37
2020-07-14,69
2020-07-15,47
2020-07-16,34
2020-07-17,45
2020-07-18,17
2020-07-19,4
2020-07-20,60
2020-07-21,16
2020-07-22,68
2020-07-23,111
2020-07-24,107
2020-07-25,54
2020-07-26,10
2020-07-27,84
2020-07-28,222
2020-07-29,261
2020-07-30,185
2020-07-31,99
2020-08-01,70
2020-08-02,53
2020-08-03,268
2020-08-04,272
2020-08-05,394
2020-08-06,210
2020-08-07,295
2020-08-08,230
2020-08-09,74
2020-08-10,363
2020-08-11,330
2020-08-12,357
2020-08-13,340
2020-08-14,308
2020-08-15,123
2020-08-16,140
2020-08-17,210
2020-08-18,507
2020-08-19,457
2020-08-20,339
2020-08-21,314
2020-08-22,98
2020-08-23,66
2020-08-24,188
2020-08-25,214
2020-08-26,323
2020-08-27,276
2020-08-28,254
2020-08-29,91
2020-08-30,53
2020-08-31,169
2020-09-01,263
2020-09-02,330
2020-09-03,228
2020-09-04,281
2020-09-05,133
2020-09-06,97
2020-09-07,511
2020-09-08,484
2020-09-09,283
2020-09-10,336
2020-09-11,522
2020-09-12,253
2020-09-13,239
2020-09-14,581
2020-09-15,628
2020-09-16,780
2020-09-17,721
2020-09-18,577
2020-09-19,384
2020-09-20,201
2020-09-21,1051
2020-09-22,866
2020-09-23,928
2020-09-24,814
2020-09-25,741
2020-09-26,503
2020-09-27,453
2020-09-28,1078
2020-09-29,1316
2020-09-30,1395
2020-10-01,1403
2020-10-02,1045
2020-10-03,702
