DATE,TOTAL_CASES_AGG
2020-03-15,461
2020-03-16,794
2020-03-17,1414
2020-03-18,1962
2020-03-19,2212
2020-03-20,3230
2020-03-21,2951
2020-03-22,2262
2020-03-23,3679
2020-03-24,5412
2020-03-25,6299
2020-03-26,5462
2020-03-27,6398
2020-03-28,6535
2020-03-29,4855
2020-03-30,6131
2020-03-31,6389
2020-04-01,6428
2020-04-02,5815
2020-04-03,6709
2020-04-04,5143
2020-04-05,3407
2020-04-06,4508
2020-04-07,5555
2020-04-08,4790
2020-04-09,5465
2020-04-10,5766
2020-04-11,4320
2020-04-12,2547
2020-04-13,2423
2020-04-14,3412
2020-04-15,3973
2020-04-16,3708
2020-04-17,3417
2020-04-18,2255
2020-04-19,1766
2020-04-20,2106
2020-04-21,2866
2020-04-22,1752
2020-04-23,2139
2020-04-24,2177
2020-04-25,1638
2020-04-26,783
2020-04-27,1523
2020-04-28,1718
2020-04-29,1900
2020-04-30,1477
2020-05-01,1265
2020-05-02,831
2020-05-03,511
2020-05-04,1331
2020-05-05,1373
2020-05-06,1379
2020-05-07,1359
2020-05-08,939
2020-05-09,680
2020-05-10,246
2020-05-11,842
2020-05-12,940
2020-05-13,864
2020-05-14,780
2020-05-15,783
2020-05-16,368
2020-05-17,309
2020-05-18,672
2020-05-19,754
2020-05-20,957
2020-05-21,340
2020-05-22,532
2020-05-23,408
2020-05-24,191
2020-05-25,599
2020-05-26,385
2020-05-27,524
2020-05-28,378
2020-05-29,233
2020-05-30,182
2020-05-31,116
2020-06-01,139
2020-06-02,327
2020-06-03,258
2020-06-04,313
2020-06-05,295
2020-06-06,145
2020-06-07,83
2020-06-08,184
2020-06-09,235
2020-06-10,163
2020-06-11,230
2020-06-12,127
2020-06-13,35
2020-06-14,50
2020-06-15,158
2020-06-16,132
2020-06-17,233
2020-06-18,122
2020-06-19,214
2020-06-20,59
2020-06-21,38
2020-06-22,179
2020-06-23,100
2020-06-24,175
2020-06-25,125
2020-06-26,113
2020-06-27,49
2020-06-28,51
2020-06-29,156
2020-06-30,165
2020-07-01,184
2020-07-02,122
2020-07-03,77
2020-07-04,70
2020-07-05,43
2020-07-06,125
2020-07-07,190
2020-07-08,161
2020-07-09,162
2020-07-10,112
2020-07-11,109
2020-07-12,76
2020-07-13,233
2020-07-14,195
2020-07-15,236
2020-07-16,281
2020-07-17,296
2020-07-18,332
2020-07-19,150
2020-07-20,478
2020-07-21,224
2020-07-22,635
2020-07-23,690
2020-07-24,677
2020-07-25,426
2020-07-26,295
2020-07-27,813
2020-07-28,869
2020-07-29,629
2020-07-30,720
2020-07-31,642
2020-08-01,379
2020-08-02,301
2020-08-03,777
2020-08-04,611
2020-08-05,861
2020-08-06,802
2020-08-07,774
2020-08-08,440
2020-08-09,174
2020-08-10,966
2020-08-11,784
2020-08-12,590
