date,region,total_cases,risk_index
2020-03-15,Brussels,119,1
2020-03-15,Flanders,461,3
2020-03-15,Wallonia,383,2
2020-03-16,Brussels,238,1
2020-03-16,Flanders,794,3
2020-03-16,Wallonia,568,2
2020-03-17,Brussels,219,1
2020-03-17,Flanders,1414,3
2020-03-17,Wallonia,654,2
2020-03-18,Brussels,346,1
2020-03-18,Flanders,1962,3
2020-03-18,Wallonia,925,2
2020-03-19,Brussels,583,1
2020-03-19,Flanders,2212,3
2020-03-19,Wallonia,1245,2
2020-03-20,Brussels,504,1
2020-03-20,Flanders,3230,3
2020-03-20,Wallonia,1468,2
2020-03-21,Brussels,683,1
2020-03-21,Flanders,2951,3
2020-03-21,Wallonia,1377,2
2020-03-22,Brussels,719,1
2020-03-22,Flanders,2262,3
2020-03-22,Wallonia,1464,2
2020-03-23,Brussels,515,1
2020-03-23,Flanders,3679,3
2020-03-23,Wallonia,1758,2
2020-03-24,Brussels,1058,1
2020-03-24,Flanders,5412,3
2020-03-24,Wallonia,1777,2
2020-03-25,Brussels,1312,1
2020-03-25,Flanders,6299,3
2020-03-25,Wallonia,2424,2
2020-03-26,Brussels,1517,1
2020-03-26,Flanders,5462,3
2020-03-26,Wallonia,2726,2
2020-03-27,Brussels,1859,1
2020-03-27,Flanders,6398,3
2020-03-27,Wallonia,2962,2
2020-03-28,Brussels,1856,1
2020-03-28,Flanders,6535,3
2020-03-28,Wallonia,2644,2
2020-03-29,Brussels,1661,1
2020-03-29,Flanders,4855,3
2020-03-29,Wallonia,2441,2
2020-03-30,Brussels,986,1
2020-03-30,Flanders,6131,3
2020-03-30,Wallonia,3155,2
2020-03-31,Brussels,2096,1
2020-03-31,Flanders,6389,3
2020-03-31,Wallonia,2698,2
2020-04-01,Brussels,1591,1
2020-04-01,Flanders,6428,3
2020-04-01,Wallonia,3667,2
2020-04-02,Brussels,1973,1
2020-04-02,Flanders,5815,3
2020-04-02,Wallonia,3714,2
2020-04-03,Brussels,1283,1
2020-04-03,Flanders,6709,3
2020-04-03,Wallonia,2425,2
2020-04-04,Brussels,1377,1
2020-04-04,Flanders,5143,3
2020-04-04,Wallonia,2549,2
2020-04-05,Brussels,1072,1
2020-04-05,Flanders,3407,3
2020-04-05,Wallonia,1782,2
2020-04-06,Brussels,1061,1
2020-04-06,Flanders,4508,3
2020-04-06,Wallonia,2051,2
2020-04-07,Brussels,1562,1
2020-04-07,Flanders,5555,3
2020-04-07,Wallonia,2583,2
2020-04-08,Brussels,1262,1
2020-04-08,Flanders,4790,3
2020-04-08,Wallonia,3260,2
2020-04-09,Brussels,1601,1
2020-04-09,Flanders,5465,3
2020-04-09,Wallonia,3493,2
2020-04-10,Brussels,1203,1
2020-04-10,Flanders,5766,3
2020-04-10,Wallonia,2828,2
2020-04-11,Brussels,762,1
2020-04-11,Flanders,4320,3
2020-04-11,Wallonia,2182,2
2020-04-12,Brussels,843,1
2020-04-12,Flanders,2547,3
2020-04-12,Wallonia,1099,2
2020-04-13,Brussels,775,1
2020-04-13,Flanders,2423,3
