DATE,Total_cases
15/03/20,963
16/03/20,1600
17/03/20,2287
18/03/20,3233
19/03/20,4040
20/03/20,5202
21/03/20,5011
22/03/20,4445
23/03/20,5952
24/03/20,8247
25/03/20,10035
26/03/20,9705
27/03/20,11219
28/03/20,11035
29/03/20,8957
30/03/20,10272
31/03/20,11183
01/04/20,11686
02/04/20,11502
03/04/20,10417
04/04/20,9069
05/04/20,6261
06/04/20,7620
07/04/20,9700
08/04/20,9312
09/04/20,10559
10/04/20,9797
11/04/20,7264
12/04/20,4489
13/04/20,4189
14/04/20,5696
15/04/20,7015
16/04/20,7168
17/04/20,6444
18/04/20,4700
19/04/20,3484
20/04/20,4297
21/04/20,5713
22/04/20,4094
23/04/20,4343
24/04/20,4232
25/04/20,2763
26/04/20,1653
27/04/20,2840
28/04/20,2971
29/04/20,3224
30/04/20,2867
01/05/20,1788
02/05/20,1360
03/05/20,712
04/05/20,2121
05/05/20,2471
06/05/20,2217
07/05/20,2337
08/05/20,1702
09/05/20,1232
10/05/20,548
11/05/20,1203
12/05/20,1540
13/05/20,1520
14/05/20,1287
15/05/20,1300
16/05/20,776
17/05/20,380
18/05/20,1030
19/05/20,1112
20/05/20,1484
21/05/20,444
22/05/20,774
23/05/20,642
24/05/20,291
25/05/20,845
26/05/20,646
27/05/20,816
28/05/20,476
29/05/20,440
30/05/20,244
31/05/20,170
01/06/20,216
02/06/20,552
03/06/20,379
04/06/20,537
05/06/20,473
06/06/20,202
07/06/20,177
08/06/20,330
09/06/20,408
10/06/20,320
11/06/20,362
12/06/20,290
13/06/20,90
14/06/20,67
15/06/20,267
16/06/20,268
17/06/20,291
18/06/20,273
19/06/20,320
20/06/20,135
21/06/20,49
22/06/20,263
23/06/20,204
24/06/20,239
25/06/20,195
26/06/20,270
27/06/20,95
28/06/20,55
29/06/20,273
30/06/20,219
01/07/20,223
02/07/20,194
03/07/20,134
04/07/20,149
05/07/20,46
06/07/20,186
07/07/20,245
08/07/20,220
09/07/20,213
10/07/20,166
11/07/20,137
12/07/20,95
13/07/20,322
14/07/20,411
15/07/20,371
16/07/20,382
17/07/20,414
18/07/20,393
19/07/20,182
20/07/20,630
21/07/20,259
22/07/20,869
23/07/20,917
24/07/20,961
25/07/20,558
26/07/20,336
27/07/20,1030
28/07/20,1329
29/07/20,1142
30/07/20,1164
31/07/20,992
01/08/20,672
02/08/20,496
03/08/20,1289
04/08/20,1123
05/08/20,1569
06/08/20,1336
07/08/20,1313
08/08/20,823
09/08/20,315
10/08/20,1594
11/08/20,1520
12/08/20,1187
13/08/20,1440
14/08/20,1103
15/08/20,654
16/08/20,430
17/08/20,1023
18/08/20,1277
19/08/20,1209
20/08/20,1049
21/08/20,989
22/08/20,454
23/08/20,238
24/08/20,842
25/08/20,692
26/08/20,826
27/08/20,839
28/08/20,882
29/08/20,290
30/08/20,250
31/08/20,892
01/09/20,972
02/09/20,956
03/09/20,861
04/09/20,1060
05/09/20,515
06/09/20,333
07/09/20,1383
08/09/20,1543
09/09/20,1390
10/09/20,1627
11/09/20,1773
12/09/20,1133
13/09/20,777
14/09/20,2320
15/09/20,2487
16/09/20,2744
17/09/20,2584
18/09/20,2711
19/09/20,1886
20/09/20,1208
21/09/20,3279
22/09/20,3419
23/09/20,3376
24/09/20,3498
25/09/20,2939
26/09/20,1991
27/09/20,1411
28/09/20,4178
29/09/20,4666
30/09/20,4865
01/10/20,5033
02/10/20,5087
03/10/20,3152
04/10/20,2659
05/10/20,6961
06/10/20,7829
07/10/20,9619
08/10/20,9135
09/10/20,10762
10/10/20,7476
11/10/20,5053
12/10/20,13250
13/10/20,17009
14/10/20,17628
15/10/20,17644
16/10/20,18560
17/10/20,15265
18/10/20,9634
19/10/20,21053
20/10/20,27776
21/10/20,26105
22/10/20,27784
23/10/20,30935
24/10/20,23577
25/10/20,15252
26/10/20,30437
27/10/20,36007
28/10/20,32871
29/10/20,28578
30/10/20,30136
31/10/20,20286
01/11/20,13934
02/11/20,25793
03/11/20,29845
04/11/20,22501
05/11/20,18988
06/11/20,18528
07/11/20,13040
08/11/20,9165
09/11/20,17301
10/11/20,19782
11/11/20,12727
12/11/20,14521
13/11/20,16045
14/11/20,11350
15/11/20,6604
16/11/20,11357
17/11/20,12198
18/11/20,10691
19/11/20,10132
20/11/20,9326
21/11/20,6178
22/11/20,4074
23/11/20,8094
24/11/20,8841
25/11/20,8164
26/11/20,7396
27/11/20,7276
28/11/20,5345
29/11/20,3086
30/11/20,5657
01/12/20,6742
02/12/20,7259
03/12/20,6221
04/12/20,6845
05/12/20,5214
06/12/20,3190
07/12/20,6236
08/12/20,6935
09/12/20,6379
10/12/20,6660
11/12/20,6447
12/12/20,5078
13/12/20,4094
14/12/20,6225
15/12/20,7642
16/12/20,6661
17/12/20,6818
18/12/20,6683
19/12/20,5197
20/12/20,2871
21/12/20,5990
22/12/20,6825
23/12/20,6038
24/12/20,5838
25/12/20,2790
26/12/20,2843
27/12/20,3241
28/12/20,5523
29/12/20,6212
30/12/20,5019
31/12/20,4411
01/01/21,2761
02/01/21,3087
03/01/21,2988
04/01/21,4993
05/01/21,5505
06/01/21,5015
07/01/21,4756
08/01/21,4581
09/01/21,3775
10/01/21,2244
11/01/21,4544
12/01/21,4854
13/01/21,4706
14/01/21,4448
15/01/21,4756
16/01/21,3113
17/01/21,1980
18/01/21,4919
19/01/21,5913
20/01/21,5172
21/01/21,5100
22/01/21,5529
23/01/21,4067
24/01/21,2662
25/01/21,5006
26/01/21,5632
27/01/21,4810
28/01/21,5170
29/01/21,5213
30/01/21,4095
31/01/21,2149
01/02/21,5744
02/02/21,5333
03/02/21,5051
04/02/21,5063
05/02/21,5165
06/02/21,3487
07/02/21,2325
08/02/21,3862
09/02/21,5238
10/02/21,4614
11/02/21,4580
12/02/21,4518
13/02/21,3073
14/02/21,2083
15/02/21,4329
16/02/21,5134
17/02/21,5169
18/02/21,5180
19/02/21,5150
20/02/21,3567
21/02/21,2271
22/02/21,5493
23/02/21,5841
24/02/21,5577
25/02/21,5290
26/02/21,6522
27/02/21,4264
28/02/21,2817
01/03/21,5180
02/03/21,6062
03/03/21,5629
04/03/21,5920
05/03/21,5641
06/03/21,4096
07/03/21,2877
08/03/21,5766
09/03/21,7252
10/03/21,6321
11/03/21,6097
12/03/21,6885
13/03/21,5795
14/03/21,4234
15/03/21,8067
16/03/21,8548
17/03/21,8738
18/03/21,8938
19/03/21,8604
20/03/21,7350
21/03/21,4929
22/03/21,10092
23/03/21,11430
24/03/21,10316
25/03/21,10209
26/03/21,9612
27/03/21,8505
28/03/21,5531
29/03/21,9900
30/03/21,11282
31/03/21,10750
01/04/21,10243
02/04/21,10482
03/04/21,7506
04/04/21,4629
05/04/21,5707
06/04/21,9771
07/04/21,11039
08/04/21,9249
09/04/21,9679
10/04/21,7090
11/04/21,4981
12/04/21,8917
13/04/21,9267
